Number,Name,Generation,About,Types/0,Types/1,Weight/Minimum,Weight/Maximum,Height/Minimum,Height/Maximum,Base Stamina,Base Attack,Base Defense,Base Flee Rate,MaxCP,MaxHP
14,Kakuna,Generation I,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",Bug,Poison,8.75kg,11.25kg,0.53m,0.68m,90 stamina points.,46 attack points.,86 defense points.,9% chance to flee.,405,485
15,Beedrill,Generation I,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",Bug,Poison,25.81kg,33.19kg,0.88m,1.13m,130 stamina points.,169 attack points.,150 defense points.,6% chance to flee.,1301,1439
16,Pidgey,Generation I,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",Normal,Flying,1.57kg,2.02kg,0.26m,0.34m,80 stamina points.,85 attack points.,76 defense points.,20% chance to flee.,585,679
17,Pidgeotto,Generation I,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",Normal,Flying,26.25kg,33.75kg,0.96m,1.24m,126 stamina points.,117 attack points.,108 defense points.,9% chance to flee.,1096,1223
19,Rattata,Generation I,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",Normal,,3.06kg,3.94kg,0.26m,0.34m,60 stamina points.,103 attack points.,70 defense points.,20% chance to flee.,493,581
20,Raticate,Generation I,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",Normal,,16.19kg,20.81kg,0.61m,0.79m,110 stamina points.,161 attack points.,144 defense points.,7% chance to flee.,1304,1444
21,Spearow,Generation I,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",Normal,Flying,1.75kg,2.25kg,0.26m,0.34m,80 stamina points.,112 attack points.,61 defense points.,15% chance to flee.,591,686
22,Fearow,Generation I,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,Normal,Flying,33.25kg,42.75kg,1.05m,1.35m,130 stamina points.,182 attack points.,135 defense points.,7% chance to flee.,1592,1746
23,Ekans,Generation I,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,Poison,,6.04kg,7.76kg,1.75m,2.25m,70 stamina points.,110 attack points.,102 defense points.,15% chance to flee.,718,824
24,Arbok,Generation I,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",Poison,,56.88kg,73.13kg,3.06m,3.94m,120 stamina points.,167 attack points.,158 defense points.,7% chance to flee.,1611,1767
25,Pikachu,Generation I,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.",Electric,,5.25kg,6.75kg,0.35m,0.45m,70 stamina points.,112 attack points.,101 defense points.,10% chance to flee.,777,887
26,Raichu,Generation I,"If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.",Electric,,26.25kg,33.75kg,0.7m,0.9m,120 stamina points.,193 attack points.,165 defense points.,6% chance to flee.,1859,2028
27,Sandshrew,Generation I,"Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.",Ground,,10.5kg,13.5kg,0.53m,0.68m,100 stamina points.,126 attack points.,145 defense points.,10% chance to flee.,695,798
28,Sandslash,Generation I,"Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.",Ground,,25.81kg,33.19kg,0.88m,1.13m,150 stamina points.,182 attack points.,202 defense points.,6% chance to flee.,1654,1810
29,Nidoran ♀,Generation I,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.",Poison,,6.13kg,7.88kg,0.35m,0.45m,110 stamina points.,86 attack points.,94 defense points.,15% chance to flee.,768,876
30,Nidorina,Generation I,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",Poison,,17.5kg,22.5kg,0.7m,0.9m,140 stamina points.,117 attack points.,126 defense points.,7% chance to flee.,1267,1404
31,Nidoqueen,Generation I,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,Poison,Ground,52.5kg,67.5kg,1.14m,1.46m,180 stamina points.,180 attack points.,174 defense points.,5% chance to flee.,2301,2485
32,Nidoran ♂,Generation I,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.",Poison,,7.88kg,10.13kg,0.44m,0.56m,92 stamina points.,105 attack points.,76 defense points.,15% chance to flee.,737,843
33,Nidorino,Generation I,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",Poison,,17.06kg,21.94kg,0.79m,1.01m,122 stamina points.,137 attack points.,112 defense points.,7% chance to flee.,1236,1372
34,Nidoking,Generation I,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",Poison,Ground,54.25kg,69.75kg,1.22m,1.57m,162 stamina points.,204 attack points.,157 defense points.,5% chance to flee.,2291,2475
35,Clefairy,Generation I,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",Fairy,,6.56kg,8.44kg,0.53m,0.68m,140 stamina points.,107 attack points.,116 defense points.,10% chance to flee.,1074,1200
36,Clefable,Generation I,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step even lets it walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",Fairy,,35kg,45kg,1.14m,1.46m,190 stamina points.,178 attack points.,171 defense points.,6% chance to flee.,2217,2397
37,Vulpix,Generation I,"At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its trainer. The six tails become magnificently curled.",Fire,,8.66kg,11.14kg,0.53m,0.68m,76 stamina points.,96 attack points.,122 defense points.,10% chance to flee.,725,831
38,Ninetales,Generation I,Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pokémon is said to live for one thousand years.,Fire,,17.41kg,22.39kg,0.96m,1.24m,146 stamina points.,169 attack points.,204 defense points.,6% chance to flee.,2015,2188
39,Jigglypuff,Generation I,Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pokémon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.,Normal,Fairy,4.81kg,6.19kg,0.44m,0.56m,230 stamina points.,80 attack points.,44 defense points.,10% chance to flee.,796,917
40,Wigglytuff,Generation I,"Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon's eyes, it is quickly washed away.",Normal,Fairy,10.5kg,13.5kg,0.88m,1.13m,280 stamina points.,156 attack points.,93 defense points.,6% chance to flee.,1997,2177
41,Zubat,Generation I,Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.,Poison,Flying,6.56kg,8.44kg,0.7m,0.9m,80 stamina points.,83 attack points.,76 defense points.,20% chance to flee.,550,642
42,Golbat,Generation I,"Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood.",Poison,Flying,48.13kg,61.88kg,1.4m,1.8m,150 stamina points.,161 attack points.,153 defense points.,7% chance to flee.,1760,1921
43,Oddish,Generation I,"During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.",Grass,Poison,4.73kg,6.08kg,0.44m,0.56m,90 stamina points.,131 attack points.,116 defense points.,15% chance to flee.,1023,1148
44,Gloom,Generation I,"Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.",Grass,Poison,7.53kg,9.68kg,0.7m,0.9m,120 stamina points.,153 attack points.,139 defense points.,7% chance to flee.,1537,1689
45,Vileplume,Generation I,"Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.",Grass,Poison,16.28kg,20.93kg,1.05m,1.35m,150 stamina points.,202 attack points.,170 defense points.,5% chance to flee.,2307,2492
46,Paras,Generation I,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,Bug,Grass,4.73kg,6.08kg,0.26m,0.34m,70 stamina points.,121 attack points.,99 defense points.,15% chance to flee.,804,916
47,Parasect,Generation I,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",Bug,Grass,25.81kg,33.19kg,0.88m,1.13m,120 stamina points.,165 attack points.,146 defense points.,7% chance to flee.,1592,1747
48,Venonat,Generation I,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even miniscule prey.",Bug,Poison,26.25kg,33.75kg,0.88m,1.13m,120 stamina points.,100 attack points.,102 defense points.,15% chance to flee.,912,1029
49,Venomoth,Generation I,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",Bug,Poison,10.94kg,14.06kg,1.31m,1.69m,140 stamina points.,179 attack points.,150 defense points.,7% chance to flee.,1730,1890
50,Diglett,Generation I,"Diglett are raised in most farms. The reason is simple—wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",Ground,,0.7kg,0.9kg,0.18m,0.23m,20 stamina points.,109 attack points.,88 defense points.,10% chance to flee.,365,456
51,Dugtrio,Generation I,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",Ground,,29.14kg,37.46kg,0.61m,0.79m,70 stamina points.,167 attack points.,147 defense points.,6% chance to flee.,1038,1168
52,Meowth,Generation I,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",Normal,,3.67kg,4.72kg,0.35m,0.45m,80 stamina points.,92 attack points.,81 defense points.,15% chance to flee.,656,756
53,Persian,Generation I,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon's surrounding vicinity. It becomes docile if grabbed by the whiskers.,Normal,,28kg,36kg,0.88m,1.13m,130 stamina points.,150 attack points.,139 defense points.,7% chance to flee.,1483,1631
54,Psyduck,Generation I,"Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.",Water,,17.15kg,22.05kg,0.7m,0.9m,100 stamina points.,122 attack points.,96 defense points.,10% chance to flee.,987,1109
55,Golduck,Generation I,The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. The Pokémon is definitely much faster than even the most athletic swimmer.,Water,,67.02kg,86.17kg,1.49m,1.91m,160 stamina points.,191 attack points.,163 defense points.,6% chance to flee.,2206,2386
56,Mankey,Generation I,"When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",Fighting,,24.5kg,31.5kg,0.44m,0.56m,80 stamina points.,148 attack points.,87 defense points.,10% chance to flee.,769,878
57,Primeape,Generation I,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",Fighting,,28kg,36kg,0.88m,1.13m,130 stamina points.,207 attack points.,144 defense points.,6% chance to flee.,1704,1864
58,Growlithe,Generation I,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",Fire,,16.63kg,21.38kg,0.61m,0.79m,110 stamina points.,136 attack points.,96 defense points.,10% chance to flee.,1199,1335
59,Arcanine,Generation I,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon's body is its source of power.",Fire,,135.63kg,174.38kg,1.66m,2.14m,180 stamina points.,227 attack points.,166 defense points.,6% chance to flee.,2781,2983
60,Poliwag,Generation I,"Poliwag has a very thin skin. It is possible to see the Pokémon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",Water,,10.85kg,13.95kg,0.53m,0.68m,80 stamina points.,101 attack points.,82 defense points.,15% chance to flee.,693,795
61,Poliwhirl,Generation I,"The surface of Poliwhirl's body is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle.",Water,,17.5kg,22.5kg,0.88m,1.13m,130 stamina points.,130 attack points.,130 defense points.,7% chance to flee.,1206,1340
62,Poliwrath,Generation I,"Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",Water,Fighting,47.25kg,60.75kg,1.14m,1.46m,180 stamina points.,182 attack points.,187 defense points.,5% chance to flee.,2321,2505
63,Abra,Generation I,"Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety.",Psychic,,17.06kg,21.94kg,0.79m,1.01m,50 stamina points.,195 attack points.,103 defense points.,99% chance to flee.,508,600
64,Kadabra,Generation I,Kadabra emits a peculiar alpha wave if it develops a headache. Only those people with a particularly strong psyche can hope to become a trainer of this Pokémon.,Psychic,,49.44kg,63.56kg,1.14m,1.46m,80 stamina points.,232 attack points.,138 defense points.,7% chance to flee.,1005,1131
65,Alakazam,Generation I,"Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead.",Psychic,,42kg,54kg,1.31m,1.69m,110 stamina points.,271 attack points.,194 defense points.,5% chance to flee.,1654,1813
66,Machop,Generation I,Machop's muscles are special—they never get sore no matter how much they are used in exercise. This Pokémon has sufficient power to hurl a hundred adult humans.,Fighting,,17.06kg,21.94kg,0.7m,0.9m,140 stamina points.,137 attack points.,88 defense points.,10% chance to flee.,968,1089
67,Machoke,Generation I,"Machoke's thoroughly toned muscles possess the hardness of steel. This Pokémon has so much strength, it can easily hold aloft a sumo wrestler on just one finger.",Fighting,,61.69kg,79.31kg,1.31m,1.69m,160 stamina points.,177 attack points.,130 defense points.,7% chance to flee.,1606,1760
68,Machamp,Generation I,"Machamp has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks.",Fighting,,113.75kg,146.25kg,1.4m,1.8m,180 stamina points.,234 attack points.,162 defense points.,5% chance to flee.,2406,2594
69,Bellsprout,Generation I,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",Grass,Poison,3.5kg,4.5kg,0.61m,0.79m,100 stamina points.,139 attack points.,64 defense points.,15% chance to flee.,990,1117
70,Weepinbell,Generation I,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",Grass,Poison,5.6kg,7.2kg,0.88m,1.13m,130 stamina points.,172 attack points.,95 defense points.,7% chance to flee.,1567,1723
71,Victreebel,Generation I,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",Grass,Poison,13.56kg,17.44kg,1.49m,1.91m,160 stamina points.,207 attack points.,138 defense points.,5% chance to flee.,2342,2530
72,Tentacool,Generation I,"Tentacool's body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pokémon happens to become dehydrated, put it back into the sea.",Water,Poison,39.81kg,51.19kg,0.79m,1.01m,80 stamina points.,97 attack points.,182 defense points.,15% chance to flee.,794,905
73,Tentacruel,Generation I,Tentacruel has large red orbs on its head. The orbs glow before lashing the vicinity with a harsh ultrasonic blast. This Pokémon's outburst creates rough waves around it.,Water,Poison,48.13kg,61.88kg,1.4m,1.8m,160 stamina points.,166 attack points.,237 defense points.,7% chance to flee.,2046,2220
74,Geodude,Generation I,"The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pokémon's heart will remain hard, craggy, and rough always.",Rock,Ground,17.5kg,22.5kg,0.35m,0.45m,80 stamina points.,132 attack points.,163 defense points.,10% chance to flee.,742,849
75,Graveler,Generation I,"Graveler grows by feeding on rocks. Apparently, it prefers to eat rocks that are covered in moss. This Pokémon eats its way through a ton of rocks on a daily basis.",Rock,Ground,91.88kg,118.13kg,0.88m,1.13m,110 stamina points.,164 attack points.,196 defense points.,7% chance to flee.,1294,1433
76,Golem,Generation I,"Golem live up on mountains. If there is a large earthquake, these Pokémon will come rolling down off the mountains en masse to the foothills below.",Rock,Ground,262.5kg,337.5kg,1.22m,1.57m,160 stamina points.,211 attack points.,229 defense points.,5% chance to flee.,2126,2303
77,Ponyta,Generation I,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,Fire,,26.25kg,33.75kg,0.88m,1.13m,100 stamina points.,170 attack points.,132 defense points.,10% chance to flee.,1370,1516
78,Rapidash,Generation I,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",Fire,,83.13kg,106.88kg,1.49m,1.91m,130 stamina points.,207 attack points.,167 defense points.,6% chance to flee.,2024,2199
79,Slowpoke,Generation I,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge.",Water,Psychic,31.5kg,40.5kg,1.05m,1.35m,180 stamina points.,109 attack points.,109 defense points.,10% chance to flee.,1089,1218
80,Slowbro,Generation I,"Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",Water,Psychic,68.69kg,88.31kg,1.4m,1.8m,190 stamina points.,177 attack points.,194 defense points.,6% chance to flee.,2409,2597
81,Magnemite,Generation I,"Magnemite attaches itself to power lines to feed on electricity. If your house has a power outage, check your circuit breakers. You may find a large number of this Pokémon clinging to the breaker box.",Electric,Steel,5.25kg,6.75kg,0.26m,0.34m,50 stamina points.,165 attack points.,128 defense points.,10% chance to flee.,774,890
82,Magneton,Generation I,"Magneton emits a powerful magnetic force that is fatal to mechanical devices. As a result, large cities sound sirens to warn citizens of large-scale outbreaks of this Pokémon.",Electric,Steel,52.5kg,67.5kg,0.88m,1.13m,100 stamina points.,223 attack points.,182 defense points.,6% chance to flee.,1715,1879
83,Farfetchd,Generation I,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",Normal,Flying,13.13kg,16.88kg,0.7m,0.9m,104 stamina points.,124 attack points.,118 defense points.,9% chance to flee.,1133,1263
84,Doduo,Generation I,"Doduo's two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.",Normal,Flying,34.3kg,44.1kg,1.22m,1.57m,70 stamina points.,158 attack points.,88 defense points.,10% chance to flee.,746,855
85,Dodrio,Generation I,Watch out if Dodrio's three heads are looking in three separate directions. It's a sure sign that it is on its guard. Don't go near this Pokémon if it's being wary-it may decide to peck you.,Normal,Flying,74.55kg,95.85kg,1.57m,2.02m,120 stamina points.,218 attack points.,145 defense points.,6% chance to flee.,1677,1836
86,Seel,Generation I,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",Water,,78.75kg,101.25kg,0.96m,1.24m,130 stamina points.,85 attack points.,128 defense points.,9% chance to flee.,985,1107
87,Dewgong,Generation I,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,Water,Ice,105kg,135kg,1.49m,1.91m,180 stamina points.,139 attack points.,184 defense points.,6% chance to flee.,1975,2145
88,Grimer,Generation I,"Grimer's sludgy and rubbery body can be forced through any opening, however small it may be. This Pokémon enters sewer pipes to drink filthy wastewater.",Poison,,26.25kg,33.75kg,0.79m,1.01m,160 stamina points.,135 attack points.,90 defense points.,10% chance to flee.,1152,1284
89,Muk,Generation I,From Muk's body seeps a foul fluid that gives off a nose-bendingly horrible stench. Just one drop of this Pokémon's body fluid can turn a pool stagnant and rancid.,Poison,,26.25kg,33.75kg,1.05m,1.35m,210 stamina points.,190 attack points.,184 defense points.,6% chance to flee.,2414,2602
90,Shellder,Generation I,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",Water,,3.5kg,4.5kg,0.26m,0.34m,60 stamina points.,116 attack points.,168 defense points.,10% chance to flee.,715,822
91,Cloyster,Generation I,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",Water,Ice,115.94kg,149.06kg,1.31m,1.69m,100 stamina points.,186 attack points.,323 defense points.,6% chance to flee.,1879,2052
92,Gastly,Generation I,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",Ghost,Poison,0.09kg,0.11kg,1.14m,1.46m,60 stamina points.,186 attack points.,70 defense points.,10% chance to flee.,696,804
93,Haunter,Generation I,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",Ghost,Poison,0.09kg,0.11kg,1.4m,1.8m,90 stamina points.,223 attack points.,112 defense points.,7% chance to flee.,1240,1380
94,Gengar,Generation I,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",Ghost,Poison,35.44kg,45.56kg,1.31m,1.69m,120 stamina points.,261 attack points.,156 defense points.,5% chance to flee.,1907,2078
95,Onix,Generation I,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",Rock,Ground,183.75kg,236.25kg,7.7m,9.9m,70 stamina points.,85 attack points.,288 defense points.,9% chance to flee.,745,857
96,Drowzee,Generation I,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat you dream through your nostrils.",Psychic,,28.35kg,36.45kg,0.88m,1.13m,120 stamina points.,89 attack points.,158 defense points.,10% chance to flee.,955,1075
97,Hypno,Generation I,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",Psychic,,66.15kg,85.05kg,1.4m,1.8m,170 stamina points.,144 attack points.,215 defense points.,6% chance to flee.,2012,2184
98,Krabby,Generation I,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",Water,,5.69kg,7.31kg,0.35m,0.45m,60 stamina points.,181 attack points.,156 defense points.,15% chance to flee.,686,792
99,Kingler,Generation I,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",Water,,52.5kg,67.5kg,1.14m,1.46m,110 stamina points.,240 attack points.,214 defense points.,7% chance to flee.,1663,1823
